
     Time (days)       Flux       Uncertainty

     12.08518100     34551.450      131.824
     12.08587544     34685.333      131.826
     12.08656988     34489.093      131.834
     12.08726433     34759.616      131.854
     12.08795877     34398.995      131.910
     12.08865322     34539.433      131.897
     12.08934766     34575.191      131.873
     12.09004211     34858.399      131.835
     12.09073655     34642.000      131.881
     12.09143100     34551.797      131.847
     12.09212544     34818.283      131.867
     12.09281988     34703.222      131.879
     12.09351433     34709.901      131.893
     12.09420877     34734.647      131.808
     12.09490322     34738.797      131.851
     12.09559766     34621.444      131.964
     12.09629211     34558.177      131.880
     12.09698655     34739.436      131.861
     12.09768100     34554.941      131.880
     12.09837544     34598.749      131.841
     12.09906988     34599.566      131.899
     12.09976433     34481.061      131.823
     12.10045877     34777.397      131.907
     12.10115322     34710.220      131.859
     12.10184766     34474.600      131.918
     12.10254211     34393.361      131.839
     12.10323655     34781.809      131.929
     12.10393100     34546.967      131.892
     12.10462544     34702.036      131.841
     12.10531988     34471.167      131.873
     12.10601433     34575.400      131.903
     12.10670877     34214.372      131.938
     12.10740322     34683.055      131.849
     12.10809766     34435.103      131.864
     12.10879211     34510.355      131.797
     12.10948655     34635.243      131.898
     12.11018100     34294.956      131.894
     12.11087544     34636.898      131.887
     12.11156988     34637.502      131.843
     12.11226433     34469.996      131.875
     12.11295877     34559.990      131.876
     12.11365322     34451.620      131.894
     12.11434766     34579.331      131.901
     12.11504211     34488.638      131.907
     12.11573655     34584.557      131.940
     12.11643100     34394.029      131.877
     12.11712544     34640.649      131.871
     12.11781988     34490.351      131.844
     12.11851433     34602.446      131.886
     12.11920877     34507.185      131.938
     12.11990322     34346.797      131.861
     12.12059766     34345.401      131.847
     12.12129211     34587.590      131.887
     12.12198655     34610.791      131.847
     12.12268100     34636.220      131.865
     12.12337544     34677.123      131.915
     12.12406988     34384.943      131.908
     12.12476433     34426.656      131.932
     12.12545877     34455.802      131.913
     12.12615322     34426.977      131.873
     12.12684766     34446.614      131.938
     12.12754211     34495.451      131.930
     12.12823655     34640.235      131.976
     12.12893100     34510.504      131.899
     12.12962544     34546.881      131.918
     12.13031988     34496.461      131.860
     12.13101433     34571.196      131.909
     12.13170877     34465.819      131.844
     12.13240322     34654.651      131.878
     12.13309766     34551.622      131.991
     12.13379211     34677.086      131.924
     12.13448655     34854.325      131.935
     12.13518100     34574.254      131.874
     12.13587544     34623.106      131.903
     12.13656988     34522.396      131.939
     12.13726433     34583.705      131.958
     12.13795877     34614.395      131.902
     12.13865322     34853.187      131.972
     12.13934766     34635.941      131.892
     12.14004211     34669.112      131.834
     12.14073655     34452.711      131.888
     12.14143100     34482.213      131.945
