|name             |ra        |dec      |bmag |ks_mag|ks_mag_flag|linear_diameter|distance|radial_velocity|abs_bmag|
|ESO006-001       |08 19 23.3|-85 08 44|15.13| 12.97|           |           2.55|    6.70|            738|   -14.8|
|IC3104           |12 18 46.1|-79 43 34|13.65|  9.26|           |           3.44|    2.27|            429|   -14.8|
|HIPASS J1247-77  |12 47 32.6|-77 35 01|18.00| 13.50|           |           1.18|    3.16|            413|   -12.7|
|NGC2915          |09 26 11.5|-76 37 35|13.20|  9.70|           |           2.77|    3.78|            467|   -16.1|
|[KK2000] 03      |02 24 42.7|-73 30 46|16.00| 10.83|           |           3.01|    4.10|               |   -12.3|
|SMC              |00 52 38.0|-72 48 01| 2.70|  0.16|C          |           7.09|    0.06|            158|   -16.5|
|LMC              |05 23 34.6|-69 45 22| 0.91| -1.75|C          |          10.06|    0.05|            278|   -17.9|
|IC5052           |20 52 06.2|-69 12 14|11.68|  8.88|           |          13.81|    6.03|            584|   -18.1|
|ESO059-001       |07 31 19.3|-68 11 10|13.98| 11.25|           |           3.23|    4.57|            530|   -15.0|
|IC4710           |18 28 38.0|-66 58 56|12.51|  9.56|C          |           9.23|    7.94|            739|   -17.4|
|NGC1313          |03 18 15.4|-66 29 51| 9.66|  7.57|           |          16.37|    4.07|            470|   -19.0|
|KK27             |03 21 03.0|-66 19 11|16.50| 13.85|C          |           1.40|    3.98|            533|   -11.8|
|IC4870           |19 37 37.6|-65 48 43|14.50| 12.11|           |           4.01|    7.30|            877|   -15.3|
|CIRCINUS         |14 13 09.3|-65 20 21|12.12|  5.28|           |          20.28|    4.20|            434|   -20.7|
|NGC6684          |18 48 57.9|-65 10 24|11.31|  7.05|           |          10.45|    8.70|            866|   -18.7|
|ESO104-022       |18 55 41.2|-64 48 39|15.63| 12.95|C          |           3.07|    6.70|            797|   -13.9|
|IC4662           |17 47 06.3|-64 38 25|11.74|  8.53|           |           2.09|    2.44|            302|   -15.5|
|Tucana           |22 41 49.0|-64 25 12|15.70| 11.47|C          |           0.73|    0.88|            194|    -9.2|
|ESO104-044       |19 11 23.1|-64 13 09|14.96| 12.46|C          |           4.37|    8.30|            750|   -14.8|
|[KK2000] 70      |19 06 58.9|-63 57 57|17.70| 15.17|C          |           1.37|    8.30|               |   -12.1|
|NGC6744          |19 09 45.9|-63 51 28| 9.14|  5.94|           |          52.75|    8.30|            841|   -21.0|
|[KK2000] 72      |19 12 22.9|-63 51 22|17.90| 15.39|C          |           1.36|    8.30|               |   -11.9|
|[KK2000] 71      |19 08 44.0|-63 43 53|15.10| 12.58|C          |           4.41|    8.30|               |   -14.7|
|HIPASS J1441-62  |14 41 42.7|-62 46 02|20.50| 12.93|C          |           1.79|    6.02|            672|   -14.1|
|IC4951           |20 09 31.8|-61 51 02|13.97| 10.98|C          |           8.94|    9.80|            814|   -16.4|
|ESO115-021       |02 37 45.0|-61 20 28|13.34|  9.97|           |           9.95|    4.99|            515|   -15.5|
|ESO137-018       |16 20 59.3|-60 29 15|12.23|  8.37|           |           7.76|    6.40|            603|   -18.1|
|FG202            |07 05 17.1|-58 31 14|14.95| 12.13|C          |           3.01|    4.90|            564|   -14.0|
|LV J0616-5745    |06 16 09.2|-57 45 55|17.01| 14.50|C          |           0.71|    6.00|            554|   -12.1|
|ESO121-020       |06 15 54.5|-57 43 35|15.27| 12.76|C          |           1.68|    6.05|            587|   -13.8|
|NGC1533          |04 09 51.8|-56 07 06|11.79|  7.63|           |          20.17|   19.40|            785|   -19.9|
|IC2038           |04 08 54.1|-55 59 32|14.98| 12.00|           |          11.14|   19.20|            712|   -16.5|
|ESO154-023       |02 56 50.4|-54 34 23|12.71|  9.81|C          |          12.72|    5.55|            574|   -16.3|
|NGC7090          |21 36 28.6|-54 33 26|11.33|  8.16|           |          19.03|    6.70|            850|   -18.6|
|NGC1705          |04 54 13.7|-53 21 41|12.77| 10.52|           |           3.31|    5.11|            628|   -15.9|
|ESO174-001       |13 47 57.7|-53 21 04|14.20| 11.50|           |           3.94|    3.60|            686|   -15.7|
|ESO149-003       |23 52 02.8|-52 34 39|15.05| 12.65|C          |           4.27|    5.90|            574|   -13.9|
|NGC1311          |03 20 07.4|-52 11 06|13.40| 10.92|           |           6.83|    5.20|            571|   -15.3|
|IC5152           |22 02 41.9|-51 17 43|11.03|  7.97|           |           4.07|    1.97|            122|   -15.6|
|HIPASS J1526-51  |15 26 22.9|-51 10 31|19.50| 14.64|C          |               |    5.68|            605|    -9.3|
|Carina           |06 41 36.7|-50 57 58|11.30|  6.95|C          |           0.76|    0.10|            224|    -9.0|
|IC1959           |03 33 11.8|-50 24 38|13.20| 11.04|           |           6.84|    6.05|            640|   -16.0|
|ESO219-010       |12 56 09.6|-50 08 38|16.42| 11.44|C          |           1.11|    4.29|               |   -12.7|
|NGC4945          |13 05 26.1|-49 28 16| 9.28|  4.49|           |          34.38|    3.80|            563|   -20.5|
|ESO222-010       |14 35 03.0|-49 25 18|16.33| 12.96|C          |           0.91|    5.80|            620|   -13.6|
|ESO199-007       |02 58 04.1|-49 22 57|16.44| 14.01|C          |           2.01|    6.56|            630|   -12.7|
|ESO238-005       |22 22 30.1|-48 24 18|14.70| 12.28|C          |           6.98|    7.80|            706|   -14.8|
|ESO223-009       |15 01 08.5|-48 17 33|13.82|  9.44|           |           6.30|    6.49|            588|   -16.4|
|ESO215-009       |10 57 30.2|-48 10 44|16.03| 12.60|           |           3.67|    5.25|            598|   -13.5|
|NGC5206          |13 33 43.9|-48 09 04|11.62|  8.48|           |           4.35|    3.47|            583|   -16.6|
|RKK1610          |09 45 24.8|-48 08 29|16.90| 12.63|C          |           6.25|   14.90|            882|   -16.1|
|ESO273-014       |14 58 30.3|-47 41 55|12.90|  9.79|           |          14.39|    9.90|           1050|   -18.6|
|CenN             |13 48 09.2|-47 33 54|17.50| 12.84|C          |           0.96|    3.66|               |   -10.9|
|HIPASS J1351-47  |13 51 22.0|-47 00 00|17.50| 14.60|           |           1.05|    5.73|            529|   -11.9|
|KK221            |13 48 46.4|-46 59 49|17.30| 14.40|C          |           1.96|    3.98|            507|   -11.3|
|ESO269-058       |13 10 32.9|-46 59 27|13.29|  9.04|           |           5.60|    3.80|            400|   -15.1|
|ESO274-001       |15 14 13.5|-46 48 45|11.70|  8.36|           |          14.06|    3.09|            524|   -17.6|
|ESO269-037       |13 03 33.6|-46 35 03|16.29| 13.42|C          |           1.36|    3.48|            744|   -12.0|
|PGC051659        |14 28 03.7|-46 18 06|15.20| 12.34|C          |           2.11|    3.58|            391|   -13.1|
|IC5201           |22 20 57.4|-46 02 03|11.30|  8.00|           |          21.85|    8.80|            915|   -18.8|
|AM2220-460       |22 23 43.0|-45 52 56|16.37| 13.97|C          |           2.30|    8.80|            843|   -13.4|
|KK217            |13 46 17.2|-45 41 05|17.57| 12.99|C          |           0.83|    3.84|               |   -10.9|
|ESO270-017       |13 34 47.3|-45 32 51|11.71|  8.20|           |          16.92|    3.60|            827|   -17.1|
|KK203            |13 27 28.1|-45 21 09|17.70| 14.95|C          |           0.58|    3.60|               |   -10.5|
|KK211            |13 42 05.6|-45 12 18|16.32| 11.78|C          |           1.41|    3.58|            600|   -11.9|
|PGC013294        |03 35 56.8|-45 11 29|16.13| 13.73|C          |           1.43|    7.98|            744|   -13.4|
|KK196            |13 21 47.1|-45 03 48|16.14| 13.46|C          |           1.08|    3.98|            741|   -12.2|
|ESO269-066       |13 13 09.2|-44 53 24|14.59| 10.12|C          |           2.58|    3.82|            784|   -13.7|
|ESO272-025       |14 43 25.5|-44 42 19|14.79| 12.27|           |           3.06|    5.88|            631|   -14.8|
|Phoenix          |01 51 06.3|-44 26 41|13.72| 11.31|C          |           0.71|    0.44|            -52|    -9.6|
|KK213            |13 43 35.8|-43 46 09|18.00| 13.52|C          |           0.56|    3.63|               |   -10.2|
|ESO245-005       |01 45 03.6|-43 35 53|12.70| 10.26|           |           4.95|    4.43|            393|   -15.6|
|NGC5011C         |13 13 11.9|-43 15 56|14.21| 11.24|           |           1.35|    3.60|            647|   -14.1|
|NGC5128          |13 25 28.9|-43 01 00| 7.84|  3.94|           |          42.65|    3.75|            556|   -20.8|
|[KK2000] 51      |12 44 21.5|-42 56 23|17.30| 14.60|C          |           0.60|    3.60|               |   -10.9|
|NGC5237          |13 37 38.9|-42 50 51|13.23|  9.85|           |           2.14|    3.40|            361|   -14.9|
|HIPASS J0457-42  |04 56 58.7|-42 48 14|14.46| 12.06|C          |           2.88|    7.20|            657|   -14.9|
