RA ,DEC, BMAG, D
124.8471 ,-85.1456 ,15.13 ,    6.70
184.6921 ,-79.7261 ,13.65 ,    2.27
141.5479 ,-76.6264 ,13.20 ,    3.78
 13.1583 ,-72.8003 , 2.70 ,    0.06
 80.8942 ,-69.7561 , 0.91 ,    0.05
313.0258 ,-69.2039 ,11.68 ,    6.03
112.8304 ,-68.1861 ,13.98 ,    4.57
277.1583 ,-66.9822 ,12.51 ,    7.94
 49.5642 ,-66.4975 , 9.66 ,    4.07
294.4067 ,-65.8119 ,14.50 ,    7.30
213.2887 ,-65.3392 ,12.12 ,    4.20
282.2412 ,-65.1733 ,11.31 ,    8.70
266.7763 ,-64.6403 ,11.74 ,    2.44
287.4413 ,-63.8578 , 9.14 ,    8.30
302.3825 ,-61.8506 ,13.97 ,    9.80
 39.4375 ,-61.3411 ,13.34 ,    4.99
245.2471 ,-60.4875 ,12.23 ,    6.40
 62.4658 ,-56.1183 ,11.79 ,   19.40
 62.2254 ,-55.9922 ,14.98 ,   19.20
 44.2100 ,-54.5731 ,12.71 ,    5.55
324.1192 ,-54.5572 ,11.33 ,    6.70
 73.5571 ,-53.3614 ,12.77 ,    5.11
 50.0308 ,-52.1850 ,13.40 ,    5.20
330.6746 ,-51.2953 ,11.03 ,    1.97
 53.2992 ,-50.4106 ,13.20 ,    6.05
196.3587 ,-49.4711 , 9.28 ,    3.80
224.6262 ,-47.6986 ,12.90 ,    9.90
197.6371 ,-46.9908 ,13.29 ,    3.80
228.5563 ,-46.8125 ,11.70 ,    3.09
335.2392 ,-46.0342 ,11.30 ,    8.80
203.6971 ,-45.5475 ,11.71 ,    3.60
 26.2650 ,-43.5981 ,12.70 ,    4.43
204.4121 ,-42.8475 ,13.23 ,    3.40
201.9058 ,-41.4806 ,12.91 ,    3.73
 23.7708 ,-41.4364 ,11.59 ,    3.89
210.8396 ,-41.3764 ,12.20 ,    4.81
 49.3275 ,-41.1081 , 9.42 ,    8.80
 47.4075 ,-41.0306 ,13.06 ,    9.80
345.6967 ,-40.8350 ,12.53 ,   10.10
  3.7854 ,-39.2203 , 8.84 ,    2.13
161.9246 ,-38.8542 ,14.97 ,    6.50
354.0625 ,-37.9389 ,11.49 ,    7.80
 13.7229 ,-37.6825 , 8.95 ,    2.15
351.7337 ,-37.3469 ,14.69 ,    7.60
200.4908 ,-36.6297 ,10.28 ,    3.40
353.6146 ,-36.1017 ,11.00 ,    7.80
207.3283 ,-36.0614 ,11.00 ,    3.45
209.2567 ,-35.3339 ,15.11 ,    4.53
 91.8321 ,-34.2044 ,14.09 ,    7.40
 92.5396 ,-34.1061 ,12.14 ,    7.40
151.4233 , -7.9814 ,13.61 ,    9.70
 95.5575 , -7.8378 ,14.63 ,    8.40
150.6508 , -6.0119 ,14.67 ,    9.70
190.0538 , -5.7992 ,12.58 ,   10.10
192.1796 , -5.2539 ,13.70 ,    9.00
 70.3675 , -2.8581 ,11.47 ,    9.29
166.4525 , -0.0358 , 9.83 ,   10.70
188.1896 ,  0.1150 ,11.09 ,    9.70
187.7658 ,  1.6758 ,15.60 ,    9.60
159.8550 ,  1.7186 ,14.28 ,    7.00
190.0958 ,  3.1178 ,13.70 ,    7.35
193.3100 ,  4.4631 ,13.37 ,    9.70
 81.2479 ,  4.5050 ,13.95 ,    7.14
189.3713 ,  4.7514 ,15.86 ,    7.20
 86.2583 ,  5.0683 ,15.40 ,    6.46
143.6871 ,  6.4256 ,15.22 ,   13.00
 85.4229 ,  6.6817 ,16.10 ,    5.15
162.2817 ,  6.9172 ,14.40 ,   22.30
189.2625 ,  6.9267 ,14.39 ,    9.80
147.0246 ,  7.1292 ,16.50 ,   14.90
147.8217 ,  7.8272 ,14.62 ,    6.85
189.1458 ,  8.0547 ,14.80 ,    7.50
191.5188 ,  8.4764 ,15.30 ,    9.80
158.9533 ,  8.4797 ,17.30 ,   10.40
189.4217 ,  8.5592 ,14.89 ,    8.50
146.1829 ,  9.6153 ,14.98 ,    9.40
163.4279 ,  9.7281 ,15.00 ,   10.40
151.8321 , 10.3622 ,13.84 ,    5.60
159.5333 , 10.3808 ,14.40 ,   10.40
160.9904 , 11.7036 ,10.58 ,   10.05
161.6908 , 11.8197 ,10.11 ,   10.42
160.5012 , 12.3350 ,15.70 ,   10.40
191.1917 , 12.3514 ,14.00 ,    6.80
157.7204 , 12.4467 ,18.60 ,   10.43
160.2358 , 12.4719 ,15.50 ,   10.40
159.0992 , 12.7075 ,13.30 ,   10.40
168.6496 , 12.8186 ,11.85 ,   10.80
170.9067 , 12.8958 ,16.90 ,   10.30
170.0625 , 12.9914 , 9.65 ,   10.28
189.1813 , 13.2594 ,13.31 ,    7.60
170.8296 , 13.6297 ,15.70 ,   10.30
160.7183 , 13.7411 ,17.40 ,   10.40
 91.4392 ,-33.0817 ,13.67 ,    7.59
210.3425 ,-33.0644 ,12.78 ,    8.10
169.5671 ,-32.8117 ,10.18 ,    6.70
359.4558 ,-32.5900 , 9.72 ,    3.91
355.9417 ,-31.9592 ,13.60 ,    4.27
 76.6071 ,-31.9542 ,13.13 ,    8.00
204.9825 ,-31.6400 ,10.87 ,    3.56
205.4042 ,-29.9139 ,12.60 ,    4.53
204.2504 ,-29.8678 , 8.20 ,    4.92
266.4167 ,-29.0078 ,-4.60 ,    0.01
126.3037 ,-28.1403 ,15.22 ,    7.40
  1.3825 ,-28.0981 ,15.15 ,    7.70
147.8500 ,-27.0111 ,13.64 ,    8.10
129.0633 ,-26.4094 ,12.45 ,    7.96
132.2750 ,-26.3200 ,14.83 ,    7.80
150.7800 ,-26.1600 ,10.39 ,    1.32
 74.9925 ,-26.0267 ,11.71 ,   10.00
 75.8321 ,-25.4231 ,14.37 ,   10.00
 11.8929 ,-25.2922 , 7.92 ,    3.94
  2.4850 ,-24.9633 ,12.38 ,    9.90
158.8467 ,-24.7542 ,13.20 ,    7.00
111.3417 ,-24.4753 ,16.90 ,    7.43
135.7629 ,-23.8083 ,16.36 ,   19.00
  3.5162 ,-23.1822 ,11.55 ,    9.20
 63.1713 ,-23.1589 ,14.06 ,    7.40
146.0838 ,-22.9161 ,16.83 ,    6.05
140.3646 ,-22.5006 ,14.80 ,   18.60
139.4704 ,-22.3553 ,11.01 ,   10.30
106.7367 ,-22.0406 ,14.43 ,    8.40
112.5346 ,-22.0169 ,19.00 ,    7.20
202.3375 ,-21.1792 ,15.33 ,    6.50
199.7304 ,-21.0392 ,10.52 ,    5.45
106.4375 ,-20.9917 , 0.00 ,    7.23
 11.7846 ,-20.7600 , 9.86 ,    3.65
 81.7738 ,-20.6781 ,14.60 ,    5.07
114.0942 ,-19.4944 ,18.40 ,    7.35
138.3004 ,-19.4086 ,15.40 ,   21.90
179.7421 ,-19.0300 ,14.27 ,    8.50
